Country,City,Date,Average Daily Rate
Kenya,Nairobi,8/24/2025,6989
Kenya,Nairobi,8/25/2025,6883
Kenya,Nairobi,8/26/2025,6733
Kenya,Nairobi,8/27/2025,6706
Kenya,Nairobi,8/28/2025,6776
Kenya,Nairobi,8/29/2025,7134
Kenya,Nairobi,8/30/2025,6824
Kenya,Nairobi,8/31/2025,6245
Kenya,Nairobi,9/1/2025,6373
Kenya,Nairobi,9/2/2025,5943
Kenya,Nairobi,9/3/2025,5908
Kenya,Nairobi,9/4/2025,5894
Kenya,Nairobi,9/5/2025,5978
Kenya,Nairobi,9/6/2025,6321
Kenya,Nairobi,9/7/2025,5971
Kenya,Nairobi,9/8/2025,5958
Kenya,Nairobi,9/9/2025,5860
Kenya,Nairobi,9/10/2025,5649
Kenya,Nairobi,9/11/2025,5869
Kenya,Nairobi,9/12/2025,6066
Kenya,Nairobi,9/13/2025,6080
Kenya,Nairobi,9/14/2025,5741
Kenya,Nairobi,9/15/2025,5652
Kenya,Nairobi,9/16/2025,5613
Kenya,Nairobi,9/17/2025,5510
Kenya,Nairobi,9/18/2025,5688
Kenya,Nairobi,9/19/2025,6059
Kenya,Nairobi,9/20/2025,6267
Kenya,Nairobi,9/21/2025,5582
Kenya,Nairobi,9/22/2025,5396
Kenya,Nairobi,9/23/2025,5512
Kenya,Nairobi,9/24/2025,5598
Kenya,Nairobi,9/25/2025,5784
Kenya,Nairobi,9/26/2025,5944
Kenya,Nairobi,9/27/2025,6164
Kenya,Nairobi,9/28/2025,5675
Kenya,Nairobi,9/29/2025,5207
Kenya,Nairobi,9/30/2025,5237
Kenya,Nairobi,10/1/2025,5422
Kenya,Nairobi,10/2/2025,5880
Kenya,Nairobi,10/3/2025,6257
Kenya,Nairobi,10/4/2025,6269
Kenya,Nairobi,10/5/2025,5614
Kenya,Nairobi,10/6/2025,5704
Kenya,Nairobi,10/7/2025,5643
Kenya,Nairobi,10/8/2025,6050
Kenya,Nairobi,10/9/2025,6699
Kenya,Nairobi,10/10/2025,7039
Kenya,Nairobi,10/11/2025,7113
Kenya,Nairobi,10/12/2025,6270
Kenya,Nairobi,10/13/2025,6063
Kenya,Nairobi,10/14/2025,5856
Kenya,Nairobi,10/15/2025,5891
Kenya,Nairobi,10/16/2025,6102
Kenya,Nairobi,10/17/2025,6802
Kenya,Nairobi,10/18/2025,7302
Kenya,Nairobi,10/19/2025,6914
Kenya,Nairobi,10/20/2025,6144
Kenya,Nairobi,10/21/2025,5792
Kenya,Nairobi,10/22/2025,5815
Kenya,Nairobi,10/23/2025,6194
Kenya,Nairobi,10/24/2025,6477
Kenya,Nairobi,10/25/2025,6709
Kenya,Nairobi,10/26/2025,6573
Kenya,Nairobi,10/27/2025,6496
Kenya,Nairobi,10/28/2025,6422
Kenya,Nairobi,10/29/2025,6539
Kenya,Nairobi,10/30/2025,6199
Kenya,Nairobi,10/31/2025,6265
Kenya,Nairobi,11/1/2025,6864
Kenya,Nairobi,11/2/2025,6265
Kenya,Nairobi,11/3/2025,5858
Kenya,Nairobi,11/4/2025,6400
Kenya,Nairobi,11/5/2025,6463
Kenya,Nairobi,11/6/2025,6809
Kenya,Nairobi,11/7/2025,7250
Kenya,Nairobi,11/8/2025,7257
Kenya,Nairobi,11/9/2025,6317
Kenya,Nairobi,11/10/2025,6122
